NFCSnooper version: 01
Absolute timestamp: -3662335184428823378
Time offset, received?, Data
71057, true, 6f0600
413300, true, 6f0500
80049, true, 6f0600
412695, true, 6f0500
71574, true, 6f0600
412233, true, 6f0500
71843, true, 6f0600
412353, true, 6f0500
70045, true, 6f0600
2192247, true, 6f0500
70935, true, 6f0600
413513, true, 6f0500
71586, true, 6f0600
413032, true, 6f0500
71454, true, 6f0600
412675, true, 6f0500
71282, true, 6f0600
413513, true, 6f0500
68242, true, 6f0600
1018761, true, 6f0500
71514, true, 6f0600
412674, true, 6f0500
71961, true, 6f0600
412506, true, 6f0500
72003, true, 6f0600
412274, true, 6f0500
71875, true, 6f0600
412988, true, 6f0500
71485, true, 6f0600
716823, true, 6f0500
73322, true, 6f0600
416678, true, 6f0500
69177, true, 6f0600
414644, true, 6f0500
69975, true, 6f0600
414838, true, 6f0500
71576, true, 6f0600
412634, true, 6f0500
70220, true, 6f0600
723153, true, 6f0500
69301, true, 6f0600
415072, true, 6f0500
72180, true, 6f0600
412775, true, 6f0500
70439, true, 6f0600
411726, true, 6f0500
70049, true, 6f0600
414191, true, 6f0500
73155, true, 6f0600
1309402, true, 6f0500
71619, true, 6f0600
412720, true, 6f0500
69918, true, 6f0600
414426, true, 6f0500
71483, true, 6f0600
410868, true, 6f0500
72730, true, 6f0600
411161, true, 6f0500
72040, true, 6f0600
723855, true, 6f0500
71490, true, 6f0600
412741, true, 6f0500
71732, true, 6f0600
412681, true, 6f0500
71554, true, 6f0600
412170, true, 6f0500
72082, true, 6f0600
412860, true, 6f0500
66918, true, 6f0600
6416, true, 6f0500
1179537, true, 6f0600
410531, true, 6f0500
74228, true, 6f0600
2530, true, 6f0500
105380, true, 6f0600
412553, true, 6f0500
70826, true, 6f0600
412793, true, 6f0500
71720, true, 6f0600
412748, true, 6f0500
71657, true, 6f0600
1015027, true, 6f0500
71511, true, 6f0600
411346, true, 6f0500
72822, true, 6f0600
412429, true, 6f0500
70606, true, 6f0600
413242, true, 6f0500
71906, true, 6f0600
412339, true, 6f0500
72223, true, 6f0600
3357, true, 6f0500
1415626, true, 6f0600
722996, true, 6f0500
71440, true, 6f0600
412734, true, 6f0500
71253, true, 6f0600
412872, true, 6f0500
71232, true, 6f0600
411943, true, 6f0500
71860, true, 6f0600
412728, true, 6f0500
71039, true, 6f0600
1601191, true, 6f0500
71956, true, 6f0600
412637, true, 6f0500
71426, true, 6f0600
412170, true, 6f0500
72029, true, 6f0600
412329, true, 6f0500
71304, true, 6f0600
412137, true, 6f0500
71744, true, 6f0600
1015083, true, 6f0500
70872, true, 6f0600
413096, true, 6f0500
70457, true, 6f0600
413153, true, 6f0500
71746, true, 6f0600
412188, true, 6f0500
71597, true, 6f0600
412170, true, 6f0500
70510, true, 6f0600
1015375, true, 6f0500
71519, true, 6f0600
412232, true, 6f0500
71252, true, 6f0600
412399, true, 6f0500
71448, true, 6f0600
412433, true, 6f0500
71423, true, 6f0600
411841, true, 6f0500
71830, true, 6f0600
49420585, true, 6f0500
70659, true, 6f0600
412815, true, 6f0500
70104, true, 6f0600
413196, true, 6f0500
70420, true, 6f0600
413076, true, 6f0500
70206, true, 6f0600
414370, true, 6f0500
70710, true, 6f0600
1308443, true, 6f0500
70742, true, 6f0600
412973, true, 6f0500
71651, true, 6f0600
412676, true, 6f0500
71034, true, 6f0600
413287, true, 6f0500
70373, true, 6f0600
